verb_lemma	verb_freq	verb_proportion
i	88483	0.131
gel	73048	0.108
göster	41322	0.061
geç	38235	0.057
kat	32003	0.047
git	26060	0.039
alın	23766	0.035
açıkla	15327	0.023
düş	13880	0.021
savun	13578	0.02
içer	12414	0.018
belirle	10707	0.016
yen(II)	10059	0.015
başar	9065	0.013
anlaş	8472	0.013
an	8205	0.012
duy	8131	0.012
destekle	7341	0.011
öğren	7170	0.011
kaç	7050	0.01
kurtul	6588	0.01
görün	5969	0.009
kuşat	5082	0.008
sergile	5031	0.007
planla	4837	0.007
besle	4767	0.007
uç	4567	0.007
kapsa	4514	0.007
sırala	4294	0.006
anla	3911	0.006
ak	3391	0.005
öner	3294	0.005
çevril	3264	0.005
dağıl	3212	0.005
kalk	3103	0.005
diren	3050	0.005
yitir	2887	0.004
suçla	2774	0.004
san	2669	0.004
önle	2631	0.004
yarala	2582	0.004
tüket	2294	0.003
giriş	2256	0.003
kaybol	2207	0.003
derle	2158	0.003
kirala	2125	0.003
yönlendir	2026	0.003
sapta	2016	0.003
öngör	2007	0.003
çağrıl	1927	0.003
başvur	1922	0.003
amaçla	1837	0.003
gözlemle	1822	0.003
gözle	1789	0.003
esinle	1707	0.003
vurgula	1636	0.002
takıl	1635	0.002
öğret	1536	0.002
fethet	1516	0.002
ilet	1486	0.002
kork	1447	0.002
depola	1396	0.002
yet	1354	0.002
kısıtla	1312	0.002
hedefle	1307	0.002
kop	1260	0.002
emret	1249	0.002
odakla	1223	0.002
pazarla	1210	0.002
soruştur	1194	0.002
yara	1174	0.002
bat	1171	0.002
programla	1137	0.002
gider	1136	0.002
pişir	1135	0.002
tepki	1038	0.002
varsay	1024	0.002
kaçın	1014	0.002
sınırla	1006	0.001
eğit	982	0.001
aydınlat	982	0.001
andır	979	0.001
ısıt	969	0.001
güncelle	961	0.001
devral	934	0.001
dile	915	0.001
ateşle	884	0.001
çözümle	872	0.001
ünle	863	0.001
hoşlan	861	0.001
görüntüle	810	0.001
kodla	799	0.001
ilişkilendir	765	0.001
şifrele	745	0.001
um	744	0.001
simgele	733	0.001
karşılaştır	731	0.001
çevrele	719	0.001
yıka	708	0.001
sakatla	703	0.001
güt	686	0.001
devril	662	0.001
devir	650	0.001
göç	647	0.001
indirge	636	0.001
sars	635	0.001
boşal	629	0.001
toparla	587	0.001
çekin	583	0.001
katlan	581	0.001
kastet	571	0.001
kıyasla	552	0.001
noktala	534	0.001
işaretle	517	0.001
hükmet	510	0.001
nitele	509	0.001
atfet	506	0.001
kopyala	489	0.001
ser	470	0.001
sına	470	0.001
salla	466	0.001
tetikle	466	0.001
aldat	461	0.001
piş	450	0.001
yum	448	0.001
kaydol	445	0.001
bük	442	0.001
yinele	441	0.001
gözet	441	0.001
kına	436	0.001
yetin	427	0.001
daral	423	0.001
soğu	411	0.001
sürtün	410	0.001
kas	384	0.001
düğ	381	0.001
soyutla	379	0.001
tapın	378	0.001
dengele	368	0.001
sıkıl	367	0.001
yazış	365	0.001
harmanla	361	0.001
yor	358	0.001
ağırla	351	0.001
dölle	349	0.001
gözetle	344	0.001
soğut	341	0.001
modelle	336	0.0
taş	333	0.0
soğur	327	0.0
kışkırt	307	0.0
irdele	304	0.0
hizala	304	0.0
nişanla	304	0.0
şiş	299	0.0
yardımlaş	298	0.0
sark	293	0.0
alla	290	0.0
arıt	287	0.0
yalvar	277	0.0
örnekle	266	0.0
silk	262	0.0
küçümse	257	0.0
öğüt	256	0.0
sınıfla	254	0.0
bayıl	254	0.0
salıver	249	0.0
çabala	249	0.0
yakın	249	0.0
kıvrıl	248	0.0
yırt	248	0.0
zikret	243	0.0
tertiple	235	0.0
hallet	233	0.0
akla	231	0.0
zamanla	230	0.0
sı	226	0.0
kazın	225	0.0
paketle	224	0.0
danış	217	0.0
abart	216	0.0
sıyrıl	214	0.0
tiple	211	0.0
oksitle	210	0.0
diril	206	0.0
dür	205	0.0
yalıt	204	0.0
haşla	203	0.0
yeğle	202	0.0
üfle	201	0.0
ayıkla	201	0.0
lağvet	200	0.0
bıçakla	190	0.0
lanetle	189	0.0
yu	189	0.0
damıt	188	0.0
buyur	187	0.0
hesaplaş	186	0.0
süpür	185	0.0
garantile	183	0.0
kirlet	183	0.0
başkaldır	181	0.0
emzir	181	0.0
takın	179	0.0
yıprat	177	0.0
çırp	177	0.0
kamulaştır	176	0.0
yanıtla	176	0.0
büyüle	173	0.0
cevapla	172	0.0
puanla	168	0.0
eşitle	163	0.0
sömür	162	0.0
arzula	161	0.0
oyala	158	0.0
katla	158	0.0
doğra	157	0.0
sıva	156	0.0
esirge	156	0.0
kenetle	152	0.0
kavur	149	0.0
sav	148	0.0
klonla	147	0.0
yadsı	147	0.0
kolla	143	0.0
mayala	142	0.0
sürtüş	140	0.0
tamla	138	0.0
alıkoy	138	0.0
kok	138	0.0
etiketle	137	0.0
daralt	137	0.0
mektuplaş	134	0.0
doyur	133	0.0
ona	132	0.0
yasla	132	0.0
becer	131	0.0
yen(I)	130	0.0
kovuştur	130	0.0
kavrul	130	0.0
cezbet	127	0.0
