category,text
alisveris,"Altus Hırdavat Yapı Malzemeleri Drone Diye Kargodan Lastik Ayakkabı Çıktı,""Instagram'da dolanırken sponsorlu bir bağlantı gördüm. Drone satışı yapılıyor. Normalde böyle şeylere inanmam ancak takipçi sayısının fazla olması, numaralarının olması, ödemeyi peşin değil karşı ödemeli ödenmesi, fotoğraflara yapılan yorumlar vs... Az da olsa güvenerek ben de sipariş vermek istedim...Devamını oku"""
alisveris,"Albay Bilgisayar Garanti Yalanı İle Yanılttı,Garanti kapsamında yer alan  Casper bilgisayarım garanti belgesi ile birlikte İzmit Casper bilgisayar yetkili servisine albay bilgisayara bıraktım. Önce almak istemedi uzun ikna cabası ve uğraş sonunda zorla garanti dahiline bıraktım bilgisayar açılmıyordu. Sonrasında ertesi gün bilgisayarın yapıldı...Devamını oku"
alisveris,"Okyanus Petshop Ürün İade Sorunu!,Satıcıdan GittiGidiyor üzerinden 385 TL tutarında Frolicat Interactive Kedi Lazer oyuncağı satın aldım. Ürünü açıp bir kez çalıştırdığımda çok gürültü çıkardığını fark ettim ve ürünü iade etmeye karar verdim. Hatam iade sürecinin 14 gün içinde olması gerektiğini bilmemekti. Ürünü teslim aldıktan son...Devamını oku"
alisveris,"Anda İhtiyaç Ve Tüketim Maddeleri Knee Tork Dizlik Esnemiyor!,Anda ihtiyaç ve tüketim maddeleri pazarlama san. Lim. Şti. Den 139 TL kapıda teslim knee tork adlı ürünü satın aldım. Ürün 0815774588452 takip no... İle Aras Kargo tarafından tarafıma teslim edildi. Ürün kargoya firma tarafından 26.05.2020 tarihinde kargoya verilmiş. Ürünün üst dizlik bedeni bacağım...Devamını oku"
alisveris,"BB Kargo Dağıtım'dan Aldığım Ürün Bozuk Çıktı Ve Muhatap Bulamıyorum!,Fotoğrafını göndermiş olduğum ürünün kablosunda temassızlık var ve ne fatura ne numara sadece gönderen kargonun adı var ve onlara da ulaşamıyorum ayrıca kargo daha bugün elime geçti Denizli Marmaris gezmiş ürün. Beni arayan numarayı buldum ona da ulaşılamıyor.Devamını oku"
alisveris,"Teknosa Cep Telefonu Değişimi,Hakem Heyeti değişim kararı olmasına rağmen üç aydır hastalığı bahane edip mağazaların kapalı olmasını mazeret eden fakat internetten satış yapan mağazaların açılmasına rağmen cihazın deişimini yapmayan beni mağdur eden Teknosa'yı. Kınıyorum yusuf bakırDevamını oku"
alisveris,"Teknosa Gelmesini Beklediğim Ürün Denizliye Gelmediği Halde İade Görünüyor,Teknosa'dan faturası ekli olan ürünü belirtilen tarihte aldım ve sanırım ertesi günü hazırlandı. Günü gününe takip ettim 01/06/2020 de Aras Kargo Orhanlı kurumsalda takılı kaldı. İlgili konuda defalarca ve her gün canlı destekle görüştüm telefonla da aradım. En sonunda aldığım ürün denizliye gelemed...Devamını oku"
alisveris,"Pekdemir Çiftliği AVM Avm Ye Alınmadık,20 55te AVM ye alınmadık Alaşehir camialtı şubesi. Mağdur edildik. Yani son kapanış saati 21 00. Fakat mağazayı 55 geçe kapatıyorlar. Gerçekten böyle bir şey olamaz. Bir de tavırları çok kötü çalışanların. Lütfen bu konuya bir çare bulun. Müşteri hizmetlerini aradık fakat telefona kimse çıkmadı bizd...Devamını oku"
alisveris,"Teknosa Kargom Hareket Etmedi,""2251****96 numaralı siparişimdeki Aras Kargo 8218****4300 gönderi numaralı, gönderim 08/06/2020 tarihinde Orhanlı kurumsal şubesinden Teknosa tarafından kargoya verildi, ancak 2 gündür hiç hareket etmedi ayrıca da şubenin ve Aras Kargo genel müdürlüğünün telefonlarına ulaşamıyorum. Bu konunun çözülm...Devamını oku"""
alisveris,"Confident AVM Eksik Ürün Gönderimi,""03.05.2020 tarihinde confident Çerkezköy şubesinden aldığım altis break koşu bandının kullanım kılavuzu, emniyet anahtarı, garanti belgesi ve kurulumda kullanılan gerekli aparatlar ürünle beraber gönderilmedi. Mağazayı hem arayıp hem de bizzat gidip kendim görüşmeme rağmen her seferinde aynı yalanı ...Devamını oku"""
alisveris,"Macro Center Karttan Mükerrer Çekimin İade Eziyeti,Bu kadar kurumsal ve marka değeri olan bir firma kasiyer hatası nedeniyle alışveriş tutarını 2 kez çekti ve 20 Mayıs’dan bugüne kadar iade işlemini tamamlayamadı. İşimizi gücümüzü bırakıp bunun peşinde mi koşturmamız gerekiyor. Daha önce de aynı olay olduğunda kendim fark edip iadesini almıştım. Dem...Devamını oku"
