word	pos_tag	morph_parse	lemma	correct_form
Cengiz	Noun	Noun+Prop+A3sg+Pnon+Nom	Cengiz	Cengiz
Han	Noun	Noun+A3sg+Pnon+Nom	han	Han
Moğol	Adj	Adj	Moğol	Moğol
Börçigin	UnDef	UnDef	Börçigin	Börçigin
ailesinden	Noun	Noun+A3sg+P3sg+Abl	aile	ailesinden
siyasetçi	Noun	Noun+A3sg+Pnon+Nom+Noun+Agt+A3sg+Pnon+Nom	siyaset	siyasetçi
,	Punc	Punc	,	,
asker	Noun	Noun+A3sg+Pnon+Nom	asker	asker
ve	Conj	Conj	ve	ve
han	Noun	Noun+A3sg+Pnon+Nom	han	han
.	Punc	Punc	.	.
Moğol	Adj	Adj	Moğol	Moğol
kabilelerini	Noun	Noun+A3pl+P3sg+Acc	kabile	kabilelerini
buyruğu	Noun	Noun+A3sg+P3sg+Nom	buyruk	buyruğu
altında	Noun	Noun+A3sg+P3sg+Loc	alt	altında
birleştirerek	Verb	Verb+Verb+Caus+Pos+Adv+ByDoingSo	birleş	birleştirerek
Moğol	Adj	Adj	Moğol	Moğol
İmparatorluğu'nu	Noun	Noun+A3sg+P3sg+Apos+Acc	imparatorluk	İmparatorluğu'nu
(	Punc	Punc	(	(
1206	Num	Num	1206	1206
-	Punc	Punc	-	-
1294	Num	Num	1294	1294
)	Punc	Punc	)	)
kurmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kur	kurmuştur
.	Punc	Punc	.	.
Bu	Det	Det	bu	Bu
imparatorluk	Noun	Noun+A3sg+Pnon+Nom	imparatorluk	imparatorluk
Dünya	Noun	Noun+A3sg+Pnon+Nom	Dünya	Dünya
tarihinin	Noun	Noun+A3sg+P3sg+Gen	tarih	tarihinin
bitişik	Adj	Adj	bitişik	bitişik
sınırlara	Noun	Noun+A3pl+Pnon+Dat	sınır	sınırlara
sahip	Noun	Noun+A3sg+Pnon+Nom	sahip	sahip
en	Adv	Adv	en	en
büyük	Adj	Adj	büyük	büyük
imparatorluğudur	Noun	Noun+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	imparatorluk	imparatorluğudur
.	Punc	Punc	.	.
Timuçin	Noun	Noun+Prop+A3sg+Pnon+Nom	Timuçin	Timuçin
ismiyle	Noun	Noun+A3sg+P3sg+Ins	isim	ismiyle
Moğol	Adj	Adj	Moğol	Moğol
Devleti	Noun	Noun+A3sg+P3sg+Nom	devlet	Devleti
hükümdarı	Noun	Noun+A3sg+P3sg+Nom	hükümdar	hükümdarı
akrabası	Noun	Noun+A3sg+P3sg+Nom	akraba	akrabası
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
doğmuş	Verb	Verb+Pos+Narr+A3sg	doğ	doğmuş
,	Punc	Punc	,	,
meritokratik	UnDef	UnDef	meritokratik	meritokratik
(	Punc	Punc	(	(
liyâkata	UnDef	UnDef	liyâkata	liyâkata
bağlı	Noun	Noun+A3sg+Pnon+Nom+Adj+With	bağ	bağlı
)	Punc	Punc	)	)
oldukça	Adv	Adv	oldukça	oldukça
güçlü	Noun	Noun+A3sg+Pnon+Nom+Adj+With	güç	güçlü
bir	Det	Det	bir	bir
ordu	Noun	Noun+A3sg+Pnon+Nom	ordu	ordu
kurmuş	Verb	Verb+Pos+Narr+A3sg	kur	kurmuş
ve	Conj	Conj	ve	ve
en	Adv	Adv	en	en
başarılı	Noun	Noun+A3sg+Pnon+Nom+Adj+With	başarı	başarılı
ordu	Noun	Noun+A3sg+Pnon+Nom	ordu	ordu
lideri	Noun	Noun+A3sg+P3sg+Nom	lider	lideri
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
tarihe	Noun	Noun+A3sg+Pnon+Dat	tarih	tarihe
geçmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geç	geçmiştir
.	Punc	Punc	.	.
Tüm	Det	Det	tüm	Tüm
dünya	Noun	Noun+A3sg+Pnon+Nom	Dünya	dünya
tarafından	Noun	Noun+A3sg+P3sg+Abl	taraf	tarafından
genelde	Adj	Adj+Noun+A3sg+Pnon+Loc	genel	genelde
acımasız	Adj	Adj	acımasız	acımasız
ve	Conj	Conj	ve	ve
kana	Noun	Noun+A3sg+Pnon+Dat	kan	kana
susamış	Verb	Verb+Pos+Narr+A3sg	susa	susamış
bir	Det	Det	bir	bir
fatih	Noun	Noun+Prop+A3sg+Pnon+Nom	Fatih	fatih
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
gözükse	Verb	Verb+Pos+Desr+A3sg	gözük	gözükse
de	Conj	Conj	de	de
,	Punc	Punc	,	,
Moğolistan'da	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc	Moğolistan	Moğolistan'da
oldukça	Adv	Adv	oldukça	oldukça
sevilen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	sev	sevilen
bir	Det	Det	bir	bir
sembol	Noun	Noun+A3sg+Pnon+Nom	sembol	sembol
hâline	Noun	Noun+A3sg+P3sg+Dat	hâl	hâline
gelmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	gel	gelmiştir
.	Punc	Punc	.	.
Moğolistan'ın	Noun	Noun+Prop+A3sg+Pnon+Apos+Gen	Moğolistan	Moğolistan'ın
babası	Noun	Noun+A3sg+P3sg+Nom	baba	babası
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
görülür	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	gör	görülür
.	Punc	Punc	.	.
Kağan	Noun	Noun+Prop+A3sg+Pnon+Nom	Kağan	Kağan
olmadan	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Abl	ol	olmadan
önce	Postp	Postp+PCAbl	önce	önce
;	Punc	Punc	;	;
Doğu	Noun	Noun+A3sg+Pnon+Nom	Doğu	Doğu
Asya	Noun	Noun+Prop+A3sg+Pnon+Nom	Asya	Asya
ve	Conj	Conj	ve	ve
Orta	Noun	Noun+A3sg+Pnon+Nom	orta	Orta
Asya'daki	Noun	Noun+Prop+A3sg+Pnon+Apos+Loc+Adj+Rel	Asya	Asya'daki
