word	pos_tag	morph_parse	lemma	correct_form
birleştirerek	Verb	Verb+Verb+Caus+Pos+Adv+ByDoingSo	birleş	birleştirerek
kurmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kur	kurmuştur
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
doğmuş	Verb	Verb+Pos+Narr+A3sg	doğ	doğmuş
kurmuş	Verb	Verb+Pos+Narr+A3sg	kur	kurmuş
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
geçmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geç	geçmiştir
susamış	Verb	Verb+Pos+Narr+A3sg	susa	susamış
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
gözükse	Verb	Verb+Pos+Desr+A3sg	gözük	gözükse
sevilen	Verb	Verb+Verb+Pass+Pos+Adj+PresPart	sev	sevilen
gelmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	gel	gelmiştir
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
görülür	Verb	Verb+Verb+Pass+Pos+Aor+A3sg	gör	görülür
olmadan	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Abl	ol	olmadan
yenmiş	Verb	Verb+Pos+Narr+A3sg	yen(II)	yenmiş
birleştirmiş	Verb	Verb+Verb+Caus+Pos+Narr+A3sg	birleş	birleştirmiş
taşımıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	taşı	taşımıştır
geçirmiş	Verb	Verb+Pos+Narr+A3sg	geçir	geçirmiş
olmak	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	ol	olmak
fethetmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	fethet	fethetmiştir
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
değiştirmiştir	Verb	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	değiş	değiştirmiştir
geçirmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	geçir	geçirmiştir
almıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	al	almıştır
yaklaşan	Verb	Verb+Pos+Adj+PresPart	yaklaş	yaklaşan
ölmüş	Verb	Verb+Pos+Narr+A3sg	öl	ölmüş
seçmek	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Nom	seç	seçmek
çekilmek	Verb	Verb+Verb+Pass+Pos+Noun+Inf1+A3sg+Pnon+Nom	çek	çekilmek
kalmıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kal	kalmıştır
yaşadığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yaşa	yaşadığı
kurtulmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	kurtul	kurtulmuştur
bilmekteydi	Verb	Verb+Pos+Prog2+Past+A3sg	bil	bilmekteydi
bilmekteydi	Verb	Verb+Pos+Prog2+Past+A3sg	bil	bilmekteydi
gelen	Verb	Verb+Pos+Adj+PresPart	gel	gelen
türemiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	türe	türemiştir
vermektedir	Verb	Verb+Pos+Prog2+A3sg+Cop+A3sg	ver	vermektedir
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
doğduğu	Verb	Verb+Pos+Adj+PastPart+P3sg	doğ	doğduğu
yakaladığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yakala	yakaladığı
verdiği	Verb	Verb+Pos+Adj+PastPart+P3sg	ver	verdiği
sürülmektedir	Verb	Verb+Verb+Pass+Pos+Prog2+A3sg+Cop+A3sg	sür	sürülmektedir
ise	Verb	Verb+Pos+Cond+A3sg	i	ise
doğmuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	doğ	doğmuştur
gelenleri	Verb	Verb+Pos+Adj+PresPart+Noun+A3pl+P3sg+Nom	gel	gelenleri
olacağına	Verb	Verb+Pos+Noun+FutPart+A3sg+P3sg+Dat	ol	olacağına
yorulmuştur	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yor	yorulmuştur
yaşamışlardı	Verb	Verb+Pos+Narr+A3pl+Past	yaşa	yaşamışlardı
Kutula	Verb	Verb+Pos+Imp+A2sg	kutula	Kutula
Bulundukları	Verb	Verb+Pos+Adj+PastPart+P3pl	bulun	Bulundukları
desteklemeleriyle	Verb	Verb+Pos+Noun+Inf2+A3pl+P3sg+Ins	destekle	desteklemeleriyle
dağılan	Verb	Verb+Pos+Adj+PresPart	dağıl	dağılan
yaşıyordu	Verb	Verb+Pos+Prog1+Past+A3sg	yaşa	yaşıyordu
çevirdi	Verb	Verb+Pos+Past+A3sg	çevir	çevirdi
Kasar	Verb	Verb+Pos+Aor+A3sg	kas	Kasar
vardı	Verb	Verb+Pos+Past+A3sg	var	vardı
vardı	Verb	Verb+Pos+Past+A3sg	var	vardı
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
oldu	Verb	Verb+Pos+Past+A3sg	ol	oldu
almaktan	Verb	Verb+Pos+Noun+Inf1+A3sg+Pnon+Abl	al	almaktan
tutuldular	Verb	Verb+Verb+Pass+Pos+Past+A3pl	tut	tutuldular
olduğuna	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Dat	ol	olduğuna
olduğuna	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Dat	ol	olduğuna
olmuş	Verb	Verb+Pos+Narr+A3sg	ol	olmuş
tartışmalar	Verb	Verb+Pos+Noun+Inf2+A3pl+Pnon+Nom	tartış	tartışmalar
etmiştir	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	et	etmiştir
Börte	Verb	Verb+Pos+Opt+A3sg	bört	Börte
evlendikten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	evlen	evlendikten
Börte	Verb	Verb+Pos+Opt+A3sg	bört	Börte
kaçırılmış	Verb	Verb+Verb+Pass+Pos+Narr+A3sg	kaçır	kaçırılmış
yapılmıştır	Verb	Verb+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	yap	yapılmıştır
Kurtarıldıktan	Verb	Verb+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	kurtar	Kurtarıldıktan
yapmış	Verb	Verb+Pos+Narr+A3sg	yap	yapmış
olamadığı	Verb	Verb+Verb+Able+Neg+Adj+PastPart+P3sg	ol	olamadığı
gelen	Verb	Verb+Pos+Adj+PresPart	gel	gelen
koymuştur	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	koy	koymuştur
davranmıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	davran	davranmıştır
geçmesini	Verb	Verb+Pos+Noun+Inf2+A3sg+P3sg+Acc	geç	geçmesini
edemeyeceğini	Verb	Verb+Verb+Able+Neg+Noun+FutPart+A3sg+P3sg+Acc	et	edemeyeceğini
söylemiş	Verb	Verb+Pos+Narr+A3sg	söyle	söylemiş
geçememiş	Verb	Verb+Verb+Able+Neg+Narr+A3sg	geç	geçememiş
olmuş	Verb	Verb+Pos+Narr+A3sg	ol	olmuş
öldükten	Verb	Verb+Pos+Noun+PastPart+A3sg+Pnon+Abl	öl	öldükten
olarak	Verb	Verb+Pos+Adv+ByDoingSo	ol	olarak
almıştır	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	al	almıştır
ölmüştür	Verb	Verb+Pos+Narr+A3sg+Cop+A3sg	öl	ölmüştür
geçti	Verb	Verb+Pos+Past+A3sg	geç	geçti
görücü	Verb	Verb+Pos+Noun+Agt+A3sg+Pnon+Nom	gör	görücü
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
verdi	Verb	Verb+Pos+Past+A3sg	ver	verdi
olan	Verb	Verb+Pos+Adj+PresPart	ol	olan
gelene	Verb	Verb+Pos+Adj+PresPart+Noun+A3sg+Pnon+Dat	gel	gelene
etti	Verb	Verb+Pos+Past+A3sg	et	etti
dönerken	Verb	Verb+Pos+Aor+A3sg+Adv+While	dön	dönerken
zehirlenmişti	Verb	Verb+Verb+Pass+Pos+Narr+Past+A3sg	zehirle	zehirlenmişti
yaptığı	Verb	Verb+Pos+Adj+PastPart+P3sg	yap	yaptığı
olmuştu	Verb	Verb+Pos+Narr+Past+A3sg	ol	olmuştu
etmediler	Verb	Verb+Neg+Past+A3pl	et	etmediler
eden	Verb	Verb+Pos+Adj+PresPart	et	eden
yaşadı	Verb	Verb+Pos+Past+A3sg	yaşa	yaşadı
avlayarak	Verb	Verb+Pos+Adv+ByDoingSo	avla	avlayarak
yaşıyorlardı	Verb	Verb+Pos+Prog1+A3pl+Past	yaşa	yaşıyorlardı
avladıkları	Verb	Verb+Pos+Adj+PastPart+P3pl	avla	avladıkları
bölüşürken	Verb	Verb+Pos+Aor+A3sg+Adv+While	bölüş	bölüşürken
anlaşamadığı	Verb	Verb+Verb+Able+Neg+Adj+PastPart+P3sg	anlaş	anlaşamadığı
öldürdü	Verb	Verb+Verb+Caus+Pos+Past+A3sg	öl	öldürdü
çıksa	Verb	Verb+Pos+Desr+A3sg	çık	çıksa
öldürmek	Verb	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	öl	öldürmek
göstermedi	Verb	Verb+Neg+Past+A3sg	göster	göstermedi
yapmıştı	Verb	Verb+Pos+Narr+Past+A3sg	yap	yapmıştı
uğramış	Verb	Verb+Pos+Narr+A3sg	uğra	uğramış
düşmüştü	Verb	Verb+Pos+Narr+Past+A3sg	düş	düşmüştü
düştüğünde	Verb	Verb+Pos+Noun+PastPart+A3sg+P3sg+Loc	düş	düştüğünde
olacak	Verb	Verb+Pos+Fut+A3sg	ol	olacak
kaçtı	Verb	Verb+Pos+Past+A3sg	kaç	kaçtı
kalabilmesi	Verb	Verb+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom	kal	kalabilmesi
verdi	Verb	Verb+Pos+Past+A3sg	ver	verdi
kurmaya	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Dat	kur	kurmaya
sokar	Verb	Verb+Pos+Aor+A3sg	sok	sokar
katılırlar	Verb	Verb+Verb+Pass+Pos+Aor+A3pl	kat	katılırlar
gelişme	Verb	Verb+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliş	gelişme
ettiler	Verb	Verb+Pos+Past+A3pl	et	ettiler
