caus_lemma	caus_freq	caus_proportion	verb_lemma	verb_freq
oluş	28318.0	0.478	oluş	59247
çık	24649.0	0.29	çık	85091
geliş	15349.0	0.496	geliş	30925
üre	14793.0	0.88	üre	16817
öl	14474.0	0.467	öl	31008
belir	13404.0	0.943	belir	14211
değiş	11821.0	0.584	değiş	20255
sür	11391.0	0.333	sür	34202
yürü	7700.0	0.645	yürü	11937
başla	6050.0	0.076	başla	79667
seslen	5754.0	0.937	seslen	6143
canlan	5551.0	0.913	canlan	6083
et	4882.0	0.02	et	246926
işle	4734.0	0.427	işle	11084
bil	4537.0	0.115	bil	39448
yetiş	4464.0	0.548	yetiş	8139
yerleş	4306.0	0.306	yerleş	14057
kapa	4202.0	0.643	kapa	6538
birleş	4154.0	0.339	birleş	12251
sal	3996.0	0.764	sal	5229
yap	3961.0	0.022	yap	180776
in	3340.0	0.532	in	6282
barın	3233.0	0.891	barın	3628
kazan	3129.0	0.073	kazan	43031
dur	3085.0	0.312	dur	9874
dönüş	3072.0	0.41	dönüş	7500
art	2777.0	0.202	art	13764
çalış	2774.0	0.04	çalış	70006
bas	2716.0	0.309	bas	8800
tanı	2712.0	0.145	tanı	18683
azal	2565.0	0.387	azal	6632
bulun	2539.0	0.022	bulun	115189
yansı	2463.0	0.612	yansı	4026
genişle	2315.0	0.533	genişle	4346
dol	2183.0	0.641	dol	3406
karış	2154.0	0.478	karış	4506
gerek	2128.0	0.119	gerek	17912
uza	2051.0	0.266	uza	7705
yüksel	1926.0	0.141	yüksel	13694
kısal	1727.0	0.896	kısal	1927
uğra	1667.0	0.208	uğra	8003
güçlen	1626.0	1.0	güçlen	1626
nitelen	1538.0	0.84	nitelen	1832
düzel	1374.0	0.832	düzel	1651
uzaklaş	1372.0	0.493	uzaklaş	2781
fırla	1349.0	0.884	fırla	1526
ulaş	1349.0	0.072	ulaş	18862
türe	1203.0	0.443	türe	2716
uyan	1051.0	0.532	uyan	1974
sıkış	1031.0	0.66	sıkış	1563
benze	969.0	0.252	benze	3850
karşılaş	943.0	0.163	karşılaş	5775
ayır	929.0	0.037	ayır	25301
büyü	858.0	0.126	büyü	6808
çarp	838.0	0.218	çarp	3843
püskür	833.0	0.767	püskür	1086
oyna	824.0	0.02	oyna	41930
dön	810.0	0.035	dön	23126
yönel	783.0	0.225	yönel	3484
yaşa	781.0	0.019	yaşa	41776
er	714.0	0.122	er	5856
oku	674.0	0.064	oku	10488
uy	630.0	0.207	uy	3037
kuru	610.0	0.549	kuru	1112
dayan	599.0	0.068	dayan	8803
kay	582.0	0.299	kay	1948
otur	565.0	0.113	otur	5017
kap	564.0	0.387	kap	1456
hatırla	532.0	0.304	hatırla	1749
evlen	500.0	0.055	evlen	9119
atla	491.0	0.188	atla	2616
yaz	473.0	0.014	yaz	34433
onurlan	462.0	1.0	onurlan	462
kavuş	444.0	0.163	kavuş	2725
pekiş	444.0	0.89	pekiş	499
patla	415.0	0.112	patla	3692
arın	378.0	0.591	arın	640
sin	374.0	0.876	sin	427
birik	374.0	0.36	birik	1038
tut	373.0	0.028	tut	13268
çoğal	371.0	0.291	çoğal	1274
bekle	366.0	0.049	bekle	7429
şaşır	365.0	0.481	şaşır	759
getir	364.0	0.012	getir	29245
giy	363.0	0.023	giy	15574
eri	362.0	0.275	eri	1315
al	360.0	0.003	al	142776
ilgilen	356.0	0.093	ilgilen	3835
ayrış	346.0	0.421	ayrış	822
tanış	341.0	0.071	tanış	4804
kan	341.0	0.879	kan	388
zayıfla	332.0	0.286	zayıfla	1160
anımsa	308.0	0.751	anımsa	410
konuşlan	307.0	0.496	konuşlan	619
havalan	303.0	0.571	havalan	531
koş	298.0	0.141	koş	2118
biçimlen	296.0	0.645	biçimlen	459
kayna	291.0	0.448	kayna	650
kes	291.0	0.048	kes	6014
bin	287.0	0.226	bin	1268
yavaşla	284.0	0.449	yavaşla	633
sön	280.0	0.448	sön	625
ilerle	274.0	0.033	ilerle	8289
gecik	268.0	0.234	gecik	1144
küçül	258.0	0.362	küçül	713
hafifle	255.0	0.842	hafifle	303
sız	250.0	0.313	sız	798
düşün	247.0	0.018	düşün	13703
yücel	245.0	0.914	yücel	268
çağrış	243.0	0.976	çağrış	249
yapış	238.0	0.418	yapış	569
inan	231.0	0.031	inan	7451
çek	229.0	0.008	çek	28652
kız	229.0	0.369	kız	620
buluş	226.0	0.105	buluş	2147
paylaş	224.0	0.056	paylaş	4025
bağdaş	213.0	0.661	bağdaş	322
kuvvetlen	212.0	1.0	kuvvetlen	212
kur	212.0	0.003	kur	62880
yumuşa	212.0	0.493	yumuşa	430
ver	210.0	0.002	ver	101330
hisset	206.0	0.089	hisset	2314
yatış	204.0	0.788	yatış	259
yık	204.0	0.042	yık	4829
yaklaş	202.0	0.065	yaklaş	3130
aşın	202.0	0.302	aşın	668
yakış	189.0	0.602	yakış	314
kızar	186.0	0.552	kızar	337
çürü	180.0	0.33	çürü	545
topla	170.0	0.014	topla	12166
don	168.0	0.216	don	779
rahatla	166.0	0.512	rahatla	324
özen	165.0	0.721	özen	229
cesaretlen	163.0	0.896	cesaretlen	182
eşleş	162.0	0.146	eşleş	1111
at	161.0	0.006	at	26359
alış	156.0	0.184	alış	850
çal	152.0	0.021	çal	7303
hazırla	152.0	0.013	hazırla	12020
eğlen	145.0	0.312	eğlen	464
gez	141.0	0.083	gez	1695
çöker	138.0	0.986	çöker	140
dinle	136.0	0.074	dinle	1826
ağaçlan	134.0	0.978	ağaçlan	137
sev	133.0	0.021	sev	6297
sus	129.0	0.194	sus	665
ye	118.0	0.034	ye	3477
ısla	117.0	0.415	ısla	282
gevşe	117.0	0.376	gevşe	311
yağ	117.0	0.038	yağ	3066
eğ	115.0	0.109	eğ	1051
gül	114.0	0.199	gül	572
kaynaş	113.0	0.218	kaynaş	519
bilinçlen	111.0	0.694	bilinçlen	160
bulaş	110.0	0.144	bulaş	766
aksa	109.0	0.388	aksa	281
tutukla	106.0	0.03	tutukla	3564
otla	103.0	0.628	otla	164
uçur	102.0	0.263	uçur	388
boğ	100.0	0.118	boğ	845
aç	100.0	0.004	aç	27274
dinlen	99.0	0.069	dinlen	1433
sap	97.0	0.297	sap	327
din	97.0	0.451	din	215
koy	96.0	0.011	koy	8531
yanıl	96.0	0.369	yanıl	260
sığ	96.0	0.36	sığ	267
uzlaş	95.0	0.116	uzlaş	820
yıl	95.0	0.508	yıl	187
dik	93.0	0.056	dik	1675
dal	91.0	0.119	dal	763
parla	89.0	0.144	parla	619
dolan	88.0	0.209	dolan	421
bölüş	88.0	0.468	bölüş	188
dolaş	88.0	0.042	dolaş	2074
kopar	87.0	0.097	kopar	898
unut	85.0	0.038	unut	2226
ara	85.0	0.012	ara	7138
sikle	80.0	0.988	sikle	81
kaybet	79.0	0.006	kaybet	12220
cay	78.0	0.491	cay	159
uyu	76.0	0.091	uyu	833
konuş	75.0	0.006	konuş	12610
karar	75.0	0.275	karar	273
kamaş	74.0	0.881	kamaş	84
yayınla	74.0	0.003	yayınla	24354
