verb_lemma	verb_freq	caus_lemma	caus_freq
ol	725240	oluş	28318.0
et	246926	çık	24649.0
yap	180776	geliş	15349.0
al	142776	üre	14793.0
bulun	115189	öl	14474.0
ver	101330	belir	13404.0
i	88483	değiş	11821.0
çık	85091	sür	11391.0
kullan	84770	yürü	7700.0
başla	79667	başla	6050.0
gel	73048	seslen	5754.0
çalış	70006	canlan	5551.0
kur	62880	et	4882.0
oluş	59247	işle	4734.0
gör	49930	bil	4537.0
kal	49000	yetiş	4464.0
kazan	43031	yerleş	4306.0
oyna	41930	kapa	4202.0
yaşa	41776	birleş	4154.0
göster	41322	sal	3996.0
gir	39841	yap	3961.0
bil	39448	in	3340.0
geç	38235	barın	3233.0
yaz	34433	kazan	3129.0
sür	34202	dur	3085.0
sağla	32742	dönüş	3072.0
kat	32003	art	2777.0
öl	31008	çalış	2774.0
geliş	30925	bas	2716.0
getir	29245	tanı	2712.0
çek	28652	azal	2565.0
de	28370	bulun	2539.0
aç	27274	yansı	2463.0
at	26359	genişle	2315.0
git	26060	dol	2183.0
ayır	25301	karış	2154.0
yayınla	24354	gerek	2128.0
alın	23766	uza	2051.0
düzenle	23552	yüksel	1926.0
taşı	23340	kısal	1727.0
dön	23126	uğra	1667.0
söyle	22361	güçlen	1626.0
iste	22072	nitelen	1538.0
seç	21787	düzel	1374.0
geçir	21676	uzaklaş	1372.0
değiş	20255	fırla	1349.0
bul	19054	ulaş	1349.0
ulaş	18862	türe	1203.0
tanı	18683	uyan	1051.0
gerek	17912	sıkış	1031.0
bırak	17664	benze	969.0
üre	16817	karşılaş	943.0
giy	15574	ayır	929.0
açıkla	15327	büyü	858.0
sat	15249	çarp	838.0
tamamla	14867	püskür	833.0
yayımla	14510	oyna	824.0
belir	14211	dön	810.0
araştır	14192	yönel	783.0
doğ	14134	yaşa	781.0
yerleş	14057	er	714.0
gönder	14056	oku	674.0
düş	13880	uy	630.0
art	13764	kuru	610.0
düşün	13703	dayan	599.0
yüksel	13694	kay	582.0
savun	13578	otur	565.0
tut	13268	kap	564.0
anlat	13206	hatırla	532.0
konuş	12610	evlen	500.0
sun	12428	atla	491.0
içer	12414	yaz	473.0
birleş	12251	onurlan	462.0
kaybet	12220	kavuş	444.0
topla	12166	pekiş	444.0
hazırla	12020	patla	415.0
yürü	11937	arın	378.0
izle	11219	sin	374.0
işle	11084	birik	374.0
yarat	11063	tut	373.0
tanımla	10867	çoğal	371.0
belirle	10707	bekle	366.0
oku	10488	şaşır	365.0
var	10454	getir	364.0
yönet	10439	giy	363.0
koru	10293	eri	362.0
bitir	10277	al	360.0
yen(II)	10059	ilgilen	356.0
dur	9874	ayrış	346.0
bağla	9866	tanış	341.0
uygula	9182	kan	341.0
