lemma	morph_parse	correct_form	frequency
oluş	Verb+Verb+Caus+Pos+Adj+PresPart	oluşturan	3769
oluş	Verb+Verb+Caus+Pos+Aor+A3sg	oluşturur	3636
üre	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	üretilen	2731
çık	Verb+Verb+Caus+Pos+Past+A3sg	çıkardı	2534
sür	Verb+Verb+Caus+Pos+Past+A3sg	sürdürdü	2533
oluş	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	oluşturduğu	2444
çık	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	çıkardığı	1972
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	oluşturulan	1780
belir	Verb+Verb+Caus+Pos+Past+A3sg	belirtti	1717
öl	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	öldürüldü	1710
sür	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	sürdürmektedir	1590
oluş	Verb+Verb+Caus+Pos+Prog2+A3sg+Cop+A3sg	oluşturmaktadır	1560
çık	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	çıkarılan	1503
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	geliştirilen	1487
belir	Verb+Verb+Caus+Pos+Aor+A3sg	belirtir	1276
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg	geliştirilmiş	1244
belir	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	belirtmiştir	1233
oluş	Verb+Verb+Caus+Pos+Past+A3sg	oluşturdu	1173
geliş	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	geliştirme	1151
sür	Verb+Verb+Caus+Pos+Adj+PresPart	sürdüren	1136
geliş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	geliştirilmiştir	1086
üre	Verb+Verb+Caus+Pos+Adj+PresPart	üreten	1068
başla	Verb+Verb+Caus+Pos+Past+A3sg	başlattı	1067
barın	Verb+Verb+Caus+Pos+Adj+PresPart	barındıran	1037
oluş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	oluşturulmuştur	1030
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	değiştirildi	1012
canlan	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	canlandırdığı	996
yürü	Verb+Verb+Caus+Pos+Past+A3sg	yürüttü	986
çık	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	çıkarmıştır	985
çık	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3sg	çıkarıldı	980
değiş	Verb+Verb+Caus+Pos+Past+A3sg	değiştirdi	958
geliş	Verb+Verb+Caus+Pos+Past+A3sg	geliştirdi	954
çık	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	çıkarılmıştır	914
değiş	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	değiştirilmiştir	904
ayır	Verb+Verb+Caus+Pos+Imp+A2sg	ayırt	901
üre	Verb+Verb+Caus+Pos+Adj+PastPart+P3sg	ürettiği	897
oluş	Verb+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	oluşturmuştur	897
canlan	Verb+Verb+Caus+Pos+Past+A3sg	canlandırdı	894
oluş	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	oluşturmak	890
üre	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	üretilmiştir	878
öl	Verb+Verb+Caus+Pos+Aor+A3sg	öldürür	841
belir	Verb+Verb+Caus+Verb+Pass+Pos+Adj+PresPart	belirtilen	840
et	Verb+Verb+Caus+Pos+Past+A3sg	ettirdi	839
oluş	Verb+Verb+Caus+Pos+Aor+A3pl	oluştururlar	836
işle	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	İşletme	813
belir	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	belirtilmiştir	807
işle	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	işletme	801
seslen	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	seslendirme	790
çık	Verb+Verb+Caus+Pos+Adj+PresPart	çıkaran	786
çık	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	çıkarma	766
belir	Verb+Verb+Caus+Pos+Adj+PresPart	belirten	761
