lemma	frequency
oluş	28318
çık	24649
geliş	15349
üre	14793
öl	14474
belir	13404
değiş	11821
sür	11391
yürü	7700
başla	6050
seslen	5754
canlan	5551
et	4882
işle	4734
bil	4537
yetiş	4464
yerleş	4306
kapa	4202
birleş	4154
sal	3996
yap	3961
in	3340
barın	3233
kazan	3129
dur	3085
dönüş	3072
art	2777
çalış	2774
bas	2716
tanı	2712
azal	2565
bulun	2539
yansı	2463
genişle	2315
dol	2183
karış	2154
gerek	2128
uza	2051
yüksel	1926
kısal	1727
uğra	1667
güçlen	1626
nitelen	1538
düzel	1374
uzaklaş	1372
fırla	1349
ulaş	1349
türe	1203
uyan	1051
sıkış	1031
benze	969
karşılaş	943
ayır	929
büyü	858
çarp	838
püskür	833
oyna	824
dön	810
yönel	783
yaşa	781
er	714
oku	674
uy	630
kuru	610
dayan	599
kay	582
otur	565
kap	564
hatırla	532
evlen	500
atla	491
yaz	473
onurlan	462
pekiş	444
kavuş	444
patla	415
arın	378
sin	374
birik	374
tut	373
çoğal	371
bekle	366
şaşır	365
getir	364
giy	363
eri	362
al	360
ilgilen	356
ayrış	346
tanış	341
kan	341
zayıfla	332
anımsa	308
konuşlan	307
havalan	303
koş	298
biçimlen	296
kayna	291
kes	291
bin	287
yavaşla	284
sön	280
ilerle	274
gecik	268
küçül	258
hafifle	255
sız	250
düşün	247
yücel	245
çağrış	243
yapış	238
inan	231
çek	229
kız	229
buluş	226
paylaş	224
bağdaş	213
kur	212
kuvvetlen	212
yumuşa	212
ver	210
hisset	206
yatış	204
yık	204
aşın	202
yaklaş	202
yakış	189
kızar	186
çürü	180
topla	170
don	168
rahatla	166
özen	165
cesaretlen	163
eşleş	162
at	161
alış	156
çal	152
hazırla	152
eğlen	145
gez	141
çöker	138
dinle	136
ağaçlan	134
sev	133
sus	129
ye	118
ısla	117
yağ	117
gevşe	117
eğ	115
gül	114
kaynaş	113
bilinçlen	111
bulaş	110
aksa	109
tutukla	106
otla	103
uçur	102
boğ	100
aç	100
dinlen	99
din	97
sap	97
sığ	96
yanıl	96
koy	96
uzlaş	95
yıl	95
dik	93
dal	91
parla	89
bölüş	88
dolan	88
dolaş	88
kopar	87
ara	85
unut	85
sikle	80
kaybet	79
cay	78
uyu	76
konuş	75
karar	75
kamaş	74
yayınla	74
kıs	71
azmet	69
imzala	69
çarpış	69
silahsızlan	68
söyle	67
tutuş	67
kabar	66
tatlan	66
taçlan	65
ergi	65
savuş	63
teşkilatlan	62
sulan	62
benimse	60
yakala	60
seç	60
incel	59
kullan	59
iliş	58
ayaklan	58
hareketlen	58
kalkın	58
gerile	57
uğraş	54
em	53
sök	52
sevin	52
yayımla	52
terle	52
damla	51
izle	51
es	48
yüz	48
boz	47
taşı	47
heyecanlan	47
dokun	47
çağır	46
sinirlen	46
kıl	46
de	45
çiftleş	45
geçin	45
şenlen	45
sun	45
apar	44
endişelen	44
geçir	44
bırak	43
kaydet	42
kaldır	42
ağla	41
öde	40
şiddetlen	39
sıçra	39
uygula	39
alevlen	38
yüreklen	37
çök	37
barış	36
yak	36
seyrel	35
saç	35
öfkelen	35
çimlen	35
onayla	35
değ	33
alçal	33
vur	33
onar	33
zehirle	33
fışkır	32
coş	32
kaz	32
akset	32
tat	31
uyuş	31
bahset	31
koşuş	31
as	30
utan	30
yarış	29
tırman	29
aşır	28
esne	28
bağla	28
kara	28
titre	28
delir	28
acı	27
yeşillen	27
it	27
düzenle	27
çiz	27
dök	27
gücen	26
çevir	26
ekle	26
serinle	26
var	26
sek	25
boya	25
geçiş	25
ol	25
bul	24
göm	24
yuvarla	24
vasıflan	24
tamamla	24
nemlen	24
bürün	23
sez	23
şımar	23
sersemle	23
kıskan	22
ger	22
kon(I)	22
titreş	22
çatla	22
kana	22
eriş	22
kazı	22
dövüş	21
kaçır	21
ağar	21
affet	21
hapset	21
tak	21
bit	20
çökel	20
bez	20
edin	20
sil	19
çekiş	19
kır	19
beğen	18
ever	18
bulan	18
çıldır	18
yanaş	18
bastır	17
isle	17
eski	17
bitiş	17
dalgalan	16
kaygılan	16
doğur	15
gölgelen	15
gönder	15
naklet	15
kuşkulan	15
kızış	15
elle	15
bula	15
ekşi	15
kus	15
yükle	14
döv	14
bileş	14
neşelen	14
atış	14
benzeş	14
gör	13
çözün	13
çak	13
azlet	13
doğrula	13
telaşlan	13
körel	13
kırbaçla	12
incele	12
görüş	12
kov	12
ada	12
temizle	11
bak	11
döşe	11
belle	11
çöz	11
kıy	11
iv	11
katlet	11
az	11
mele	11
bağışla	10
gülümse	10
duygulan	10
örtüş	10
yeşer	10
küs	10
ez	10
bağır	10
savaş	10
oyla	10
ağrı	9
ısın	9
dikleş	9
tüt	9
çoksa	9
ısır	9
yağmala	9
köpür	9
yut	9
ferahla	9
neticelen	9
yenile	9
kıpırda	9
sorgula	8
anlat	8
tutun	8
inle	8
sar	8
tara	8
defnet	8
gururlan	8
sakın	8
hastalan	8
dağıt	8
say	8
çakış	8
sat	8
durakla	8
kabullen	7
ezberle	7
ayıl	7
kutuplaş	7
kapla	7
seyret	7
çiğne	7
katış	7
ucuzla	7
gir	7
sol	7
genleş	7
ertele	7
mevzilen	7
feshet	7
üşü	7
ürper	7
parçala	7
hançerle	6
tokuş	6
ör	6
buruş	6
esinlen	6
süslen	6
tasarla	6
iste	6
hırslan	6
bık	6
üleş	6
lezzetlen	6
ufal	6
güven	6
harca	6
sor	6
seğir	6
