lemma	frequency
ol	725240
et	246926
yap	180776
al	142776
bulun	115189
ver	101330
i	88483
çık	85091
kullan	84770
başla	79667
gel	73048
çalış	70006
kur	62880
oluş	59247
gör	49930
kal	49000
kazan	43031
oyna	41930
yaşa	41776
göster	41322
gir	39841
bil	39448
geç	38235
yaz	34433
sür	34202
sağla	32742
kat	32003
öl	31008
geliş	30925
getir	29245
çek	28652
de	28370
aç	27274
at	26359
git	26060
ayır	25301
yayınla	24354
alın	23766
düzenle	23552
taşı	23340
dön	23126
söyle	22361
iste	22072
seç	21787
geçir	21676
değiş	20255
bul	19054
ulaş	18862
tanı	18683
gerek	17912
bırak	17664
üre	16817
giy	15574
açıkla	15327
sat	15249
tamamla	14867
yayımla	14510
belir	14211
araştır	14192
doğ	14134
yerleş	14057
gönder	14056
düş	13880
art	13764
düşün	13703
yüksel	13694
savun	13578
tut	13268
anlat	13206
konuş	12610
sun	12428
içer	12414
birleş	12251
kaybet	12220
topla	12166
hazırla	12020
yürü	11937
izle	11219
işle	11084
yarat	11063
tanımla	10867
belirle	10707
oku	10488
var	10454
yönet	10439
koru	10293
bitir	10277
yen(II)	10059
dur	9874
bağla	9866
uygula	9182
evlen	9119
başar	9065
say	8848
dayan	8803
bas	8800
koy	8531
bak	8503
anlaş	8472
etkile	8318
ilerle	8289
an	8205
yetiş	8139
duy	8131
uğra	8003
imzala	7983
uza	7705
incele	7693
kaydet	7646
dönüş	7500
inan	7451
bekle	7429
ata	7392
destekle	7341
kaldır	7309
çal	7303
öğren	7170
ara	7138
kaç	7050
üstlen	7013
yakala	6934
büyü	6808
azal	6632
kurtul	6588
kapa	6538
ekle	6476
tartış	6327
sev	6297
in	6282
yay	6234
bit	6143
seslen	6143
canlan	6083
kes	6014
vur	5980
görün	5969
er	5856
karşılaş	5775
ele	5731
sal	5229
kurtar	5212
davran	5163
karşıla	5146
tasarla	5128
çatış	5101
kuşat	5082
kır	5081
kon(I)	5075
keşfet	5040
sergile	5031
otur	5017
rastla	4925
planla	4837
yık	4829
tanış	4804
ayaklan	4801
besle	4767
böl	4705
uç	4567
kapsa	4514
karış	4506
genişle	4346
sırala	4294
reddet	4219
götür	4172
boz	4109
savaş	4037
yansı	4026
paylaş	4025
bahset	3989
uyarla	3944
anla	3911
engelle	3855
benze	3850
çarp	3843
ilgilen	3835
aktar	3721
patla	3692
çevir	3687
barın	3628
edin	3609
tutukla	3564
çiz	3547
yönel	3484
ye	3477
çöz	3471
dol	3406
ak	3391
öner	3294
çevril	3264
dağıl	3212
sakla	3158
duyur	3141
yaklaş	3130
dağıt	3126
kalk	3103
düşür	3077
yağ	3066
diren	3050
uy	3037
uğraş	3031
artır	3002
benimse	2911
değ	2896
yitir	2887
hesapla	2864
yak	2853
aş	2807
uzaklaş	2781
suçla	2774
dök	2761
zorla	2736
kavuş	2725
türe	2716
kıl	2699
kutla	2679
san	2669
yarış	2656
bestele	2635
önle	2631
atla	2616
sok	2608
yarala	2582
yorumla	2525
eleştir	2514
kaynaklan	2503
kaçır	2482
öde	2472
yasakla	2439
yan	2433
çarpış	2394
yenile	2360
vazgeç	2359
hisset	2314
tüket	2294
yat	2287
sor	2282
giriş	2256
yargıla	2246
ölç	2238
unut	2226
kaybol	2207
çök	2203
kapla	2193
algıla	2160
derle	2158
buluş	2147
kirala	2125
onayla	2122
koş	2118
göm	2117
çağır	2114
dolaş	2074
yükle	2061
yönlendir	2026
sapta	2016
öngör	2007
uyan	1974
sahnele	1974
del	1971
kay	1948
çağrıl	1927
kısal	1927
başvur	1922
kanıtla	1906
harca	1876
amaçla	1837
