verb_lemma	verb_freq	caus_freq
ol	725240	25.0
et	246926	4882.0
yap	180776	3961.0
al	142776	360.0
bulun	115189	2539.0
ver	101330	210.0
i	88483	
çık	85091	24649.0
kullan	84770	59.0
başla	79667	6050.0
gel	73048	
çalış	70006	2774.0
kur	62880	212.0
oluş	59247	28318.0
gör	49930	13.0
kal	49000	1.0
kazan	43031	3129.0
oyna	41930	824.0
yaşa	41776	781.0
göster	41322	
gir	39841	7.0
bil	39448	4537.0
geç	38235	
yaz	34433	473.0
sür	34202	11391.0
sağla	32742	5.0
kat	32003	
öl	31008	14474.0
geliş	30925	15349.0
getir	29245	364.0
çek	28652	229.0
de	28370	45.0
aç	27274	100.0
at	26359	161.0
git	26060	
ayır	25301	929.0
yayınla	24354	74.0
alın	23766	
düzenle	23552	27.0
taşı	23340	47.0
dön	23126	810.0
söyle	22361	67.0
iste	22072	6.0
seç	21787	60.0
geçir	21676	44.0
değiş	20255	11821.0
bul	19054	24.0
ulaş	18862	1349.0
tanı	18683	2712.0
gerek	17912	2128.0
bırak	17664	43.0
üre	16817	14793.0
giy	15574	363.0
açıkla	15327	
sat	15249	8.0
tamamla	14867	24.0
yayımla	14510	52.0
belir	14211	13404.0
araştır	14192	3.0
doğ	14134	1.0
yerleş	14057	4306.0
gönder	14056	15.0
düş	13880	
art	13764	2777.0
düşün	13703	247.0
yüksel	13694	1926.0
savun	13578	
tut	13268	373.0
anlat	13206	8.0
konuş	12610	75.0
sun	12428	45.0
içer	12414	
birleş	12251	4154.0
kaybet	12220	79.0
topla	12166	170.0
hazırla	12020	152.0
yürü	11937	7700.0
izle	11219	51.0
işle	11084	4734.0
yarat	11063	2.0
tanımla	10867	1.0
belirle	10707	
oku	10488	674.0
var	10454	26.0
yönet	10439	2.0
koru	10293	1.0
bitir	10277	1.0
yen(II)	10059	
dur	9874	3085.0
bağla	9866	28.0
uygula	9182	39.0
evlen	9119	500.0
başar	9065	
say	8848	8.0
dayan	8803	599.0
bas	8800	2716.0
koy	8531	96.0
bak	8503	11.0
anlaş	8472	
etkile	8318	2.0
ilerle	8289	274.0
an	8205	
yetiş	8139	4464.0
duy	8131	
uğra	8003	1667.0
imzala	7983	69.0
uza	7705	2051.0
incele	7693	12.0
kaydet	7646	42.0
dönüş	7500	3072.0
inan	7451	231.0
bekle	7429	366.0
ata	7392	3.0
destekle	7341	
kaldır	7309	42.0
çal	7303	152.0
öğren	7170	
ara	7138	85.0
kaç	7050	
üstlen	7013	1.0
yakala	6934	60.0
büyü	6808	858.0
azal	6632	2565.0
kurtul	6588	
kapa	6538	4202.0
ekle	6476	26.0
tartış	6327	1.0
sev	6297	133.0
in	6282	3340.0
yay	6234	2.0
bit	6143	20.0
seslen	6143	5754.0
canlan	6083	5551.0
kes	6014	291.0
vur	5980	33.0
görün	5969	
er	5856	714.0
karşılaş	5775	943.0
ele	5731	2.0
sal	5229	3996.0
kurtar	5212	1.0
davran	5163	1.0
karşıla	5146	1.0
tasarla	5128	6.0
çatış	5101	3.0
kuşat	5082	
kır	5081	19.0
kon(I)	5075	22.0
keşfet	5040	4.0
sergile	5031	
otur	5017	565.0
rastla	4925	2.0
planla	4837	
yık	4829	204.0
tanış	4804	341.0
ayaklan	4801	58.0
besle	4767	
böl	4705	3.0
uç	4567	
kapsa	4514	
karış	4506	2154.0
genişle	4346	2315.0
sırala	4294	
reddet	4219	1.0
götür	4172	2.0
boz	4109	47.0
savaş	4037	10.0
yansı	4026	2463.0
paylaş	4025	224.0
bahset	3989	31.0
uyarla	3944	1.0
anla	3911	
engelle	3855	2.0
benze	3850	969.0
çarp	3843	838.0
ilgilen	3835	356.0
aktar	3721	1.0
patla	3692	415.0
çevir	3687	26.0
barın	3628	3233.0
edin	3609	20.0
tutukla	3564	106.0
çiz	3547	27.0
yönel	3484	783.0
ye	3477	118.0
çöz	3471	11.0
dol	3406	2183.0
