correct_form	morph_parse	lemma	frequency
çıkarıldıktan	Verb+Verb+Caus+Verb+Pass+Pos+Noun+PastPart+A3sg+Pnon+Abl	çık	779
çıkaracağım	Verb+Verb+Caus+Pos+Fut+A1sg	çık	779
Çıkarmak	Verb+Verb+Caus+Pos+Noun+Inf1+A3sg+Pnon+Nom	çık	779
çıkarılıyordu	Verb+Verb+Caus+Verb+Pass+Pos+Prog1+Past+A3sg	çık	779
çıkarmalardan	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Abl	çık	779
çıkartıldıkları	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Adj+PastPart+P3pl	çık	779
çıkarmamasının	Verb+Verb+Caus+Neg+Noun+Inf2+A3sg+P3sg+Gen	çık	779
çıkartmalarda	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Loc	çık	779
çıkartılmıştı	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Narr+Past+A3sg	çık	779
çıkarabilmesine	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Dat	çık	779
çıkaramadı	Verb+Verb+Caus+Verb+Able+Neg+Past+A3sg	çık	779
çıkarılmalarını	Verb+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3pl+P3sg+Acc	çık	779
çıkartmalarıyla	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Ins	çık	779
çıkartmadan	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Abl	çık	779
çıkarıversin	Verb+Verb+Caus+Verb+Hastily+Pos+Imp+A3sg	çık	779
çıkartacak	Verb+Verb+Caus+Verb+Caus+Pos+Fut+A3sg	çık	779
çıkartmasıyla	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Ins	çık	779
Çıkartma	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Nom	çık	779
çıkartacaklarını	Verb+Verb+Caus+Verb+Caus+Pos+Noun+FutPart+A3pl+P3sg+Acc	çık	779
çıkartmada	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Loc	çık	779
çıkartırlar	Verb+Verb+Caus+Verb+Caus+Pos+Aor+A3pl	çık	779
çıkartmışlar	Verb+Verb+Caus+Verb+Caus+Pos+Narr+A3pl	çık	779
çıkarılırlar	Verb+Verb+Caus+Verb+Pass+Pos+Aor+A3pl	çık	779
çıkarabilmesidir	Verb+Verb+Caus+Verb+Able+Pos+Noun+Inf2+A3sg+P3sg+Nom+Verb+Pres+Cop+A3sg	çık	779
çıkarttırır	Verb+Verb+Caus+Verb+Caus+Verb+Caus+Pos+Aor+A3sg	çık	779
çıkarabilen	Verb+Verb+Caus+Verb+Able+Pos+Adj+PresPart	çık	779
çıkartıyorsa	Verb+Verb+Caus+Verb+Caus+Pos+Prog1+Cond+A3sg	çık	779
çıkartabileceğimizi	Verb+Verb+Caus+Verb+Caus+Verb+Able+Pos+Noun+FutPart+A3sg+P1pl+Acc	çık	779
çıkarmaların	Verb+Verb+Caus+Pos+Noun+Inf2+A3pl+Pnon+Gen	çık	779
çıkarılamayacak	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Fut+A3sg	çık	779
çıkaramadıklarında	Verb+Verb+Caus+Verb+Able+Neg+Noun+PastPart+A3pl+P3sg+Loc	çık	779
Çıkartması	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkarılmıştır	Verb+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	çık	779
çıkartamayarak	Verb+Verb+Caus+Verb+Caus+Verb+Able+Neg+Adv+ByDoingSo	çık	779
çıkartılabilmektedir	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Verb+Able+Pos+Prog2+A3sg+Cop+A3sg	çık	779
çıkarmaksızın	Verb+Verb+Caus+Pos+Adv+WithoutHavingDoneSo	çık	779
çıkarılamadığından	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Noun+PastPart+A3sg+P3sg+Abl	çık	779
çıkartılmıştır	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Narr+A3sg+Cop+A3sg	çık	779
çıkartmaması	Verb+Verb+Caus+Verb+Caus+Neg+Noun+Inf2+A3sg+P3sg+Nom	çık	779
çıkarabileceğine	Verb+Verb+Caus+Verb+Able+Pos+Noun+FutPart+A3sg+P3sg+Dat	çık	779
çıkarırsınız	Verb+Verb+Caus+Pos+Aor+A2pl	çık	779
çıkartıldılar	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Past+A3pl	çık	779
çıkarıyoruz	Verb+Verb+Caus+Pos+Prog1+A1pl	çık	779
çıkardığımız	Verb+Verb+Caus+Pos+Adj+PastPart+P1pl	çık	779
Çıkartmıştır	Verb+Verb+Caus+Verb+Caus+Pos+Narr+A3sg+Cop+A3sg	çık	779
çıkartmazlar	Verb+Verb+Caus+Verb+Caus+Neg+Aor+A3pl	çık	779
çıkarttıklarından	Verb+Verb+Caus+Verb+Caus+Pos+Noun+PastPart+A3pl+P3sg+Abl	çık	779
çıkarılamamasını	Verb+Verb+Caus+Verb+Pass+Verb+Able+Neg+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkarıldılar	Verb+Verb+Caus+Verb+Pass+Pos+Past+A3pl	çık	779
çıkarılabiliyor	Verb+Verb+Caus+Verb+Pass+Verb+Able+Pos+Prog1+A3sg	çık	779
çıkarmasını	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkartmaları	Verb+Verb+Caus+Verb+Caus+Pos+Noun+Inf2+A3pl+P3sg+Nom	çık	779
çıkartılmamasını	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Neg+Noun+Inf2+A3sg+P3sg+Acc	çık	779
çıkarmayı	Verb+Verb+Caus+Pos+Noun+Inf2+A3sg+Pnon+Acc	çık	779
çıkarmazsanız	Verb+Verb+Caus+Neg+Aor+Cond+A2pl	çık	779
çıkaracağız	Verb+Verb+Caus+Pos+Fut+A1pl	çık	779
çıkarabilirdi	Verb+Verb+Caus+Verb+Able+Pos+Aor+Past+A3sg	çık	779
çıkaracaklarına	Verb+Verb+Caus+Pos+Noun+FutPart+A3pl+P3sg+Dat	çık	779
çıkartılmasının	Verb+Verb+Caus+Verb+Caus+Verb+Pass+Pos+Noun+Inf2+A3sg+P3sg+Gen	çık	779
çıkartmamam	Verb+Verb+Caus+Verb+Caus+Neg+Noun+Inf2+A3sg+P1sg+Nom	çık	779
çıkarabilirlerdi	Verb+Verb+Caus+Verb+Able+Pos+Aor+A3pl+Past	çık	779
çıkaracakken	Verb+Verb+Caus+Pos+Fut+A3sg+Adv+While	çık	779
