lemma	frequency
çık	779
öl	534
üre	448
değiş	447
oluş	410
geliş	368
sür	281
et	276
dur	273
belir	269
in	252
yetiş	250
çalış	246
yürü	244
yerleş	235
sal	230
kapa	228
dol	225
işle	224
dönüş	210
başla	202
birleş	198
yap	197
bil	195
seslen	192
uza	192
yansı	191
karış	188
bulun	187
bas	180
fırla	174
oyna	173
yüksel	172
düzel	171
art	169
azal	168
canlan	167
genişle	157
dön	153
tanı	145
ulaş	144
kazan	142
uzaklaş	140
uğra	139
benze	131
barın	131
büyü	129
sıkış	128
yönel	123
güçlen	123
nitelen	120
uyan	119
uy	118
kısal	115
otur	111
püskür	111
kay	110
oku	108
er	107
yaşa	106
atla	106
patla	104
hatırla	100
sin	98
kavuş	94
gerek	90
türe	88
giy	88
al	87
dayan	87
birik	86
kes	86
çoğal	85
bekle	85
ayrış	84
evlen	83
karşılaş	80
tut	79
kuru	79
yaz	79
kan	78
çarp	78
yaklaş	76
zayıfla	74
eri	73
pekiş	73
arın	73
kap	73
bağdaş	73
yavaşla	71
biçimlen	70
sön	70
çek	70
gecik	69
yücel	68
bin	68
ilerle	65
ver	65
onurlan	64
çürü	62
tanış	61
ye	61
yakış	60
eşleş	60
sız	59
yapış	59
konuşlan	59
şaşır	59
inan	59
paylaş	59
kız	59
hafifle	58
kayna	56
aşın	55
yatış	55
dinle	55
hisset	54
küçül	53
alış	53
getir	53
kuvvetlen	52
don	52
bulaş	52
sus	52
özen	51
gez	51
çöker	50
havalan	50
yumuşa	49
ara	45
sap	44
at	44
rahatla	43
sığ	43
topla	43
gül	42
buluş	42
koş	42
eğ	42
yağ	41
kızar	40
kullan	40
gevşe	40
düşün	40
kur	40
yık	40
dolan	39
din	39
anımsa	39
aksa	38
kopar	38
dinlen	38
tutuş	38
ilgilen	37
dolaş	37
eğlen	37
çarpış	37
kaybet	37
hazırla	37
ısla	36
cesaretlen	36
söyle	36
uyu	36
boğ	36
otla	35
konuş	34
parla	34
unut	34
yanıl	33
çağrış	32
dal	32
kıs	31
koy	31
aç	30
kaynaş	30
çiftleş	30
cay	30
bölüş	30
yayınla	30
dokun	29
imzala	29
gerile	29
savuş	29
karar	29
sev	29
kabar	28
uzlaş	28
izle	28
dik	28
silahsızlan	27
ergi	27
es	26
yıl	26
damla	26
taşı	25
incel	25
uçur	25
sulan	25
ağla	25
tutukla	25
kıl	24
