verb_lemma	verb_freq	P(verb)	caus_freq	P(CAUS)	expected_P(CAUS^verb)	actual_P(CAUS^verb)	log_expected	log_actual	log_odds_ratio
ol	725240	0.152	25.0	0.064	0.009728	3.44713474160278e-05	-4.632746953758326	-10.275382088671543	5.643
et	246926	0.052	4882.0	0.064	0.003328	0.019771105513392676	-5.705383756023175	-3.9235337246279185	-1.782
yap	180776	0.038	3961.0	0.064	0.002432	0.021911094393061027	-6.0190413148782165	-3.820762177144285	-2.198
al	142776	0.03	360.0	0.064	0.00192	0.0025214321734745334	-6.255430092942447	-5.982928216085695	-0.273
bulun	115189	0.024	2539.0	0.064	0.001536	0.022042035263783868	-6.478573644256657	-3.8148039548690496	-2.664
ver	101330	0.021	210.0	0.064	0.0013440000000000001	0.0020724365933089905	-6.61210503688118	-6.1790302657248946	-0.433
i	88483	0.019	1e-10	0.064	0.001216	1.1301605958206661e-15	-6.712188495438162	-34.416416652089275	27.704
çık	85091	0.018	24649.0	0.064	0.001152	0.28967810931825927	-6.766255716708438	-1.2389849403402402	-5.527
kullan	84770	0.018	59.0	0.064	0.001152	0.0006960009437300932	-6.766255716708438	-7.2701595416967315	0.504
başla	79667	0.017	6050.0	0.064	0.0010880000000000002	0.07594110484893368	-6.823414130548386	-2.577797175312316	-4.246
gel	73048	0.015	1e-10	0.064	0.00096	1.3689628737268646e-15	-6.9485772735023925	-34.224722968236634	27.276
çalış	70006	0.015	2774.0	0.064	0.00096	0.03962517498500129	-6.9485772735023925	-3.2282906307691737	-3.72
kur	62880	0.013	212.0	0.064	0.000832	0.0033715012722646313	-7.091678117143066	-5.6923971524310755	-1.399
oluş	59247	0.012	28318.0	0.064	0.000768	0.47796512903606936	-7.171720824816602	-0.7382175009591799	-6.434
gör	49930	0.01	13.0	0.064	0.00064	0.0002603645103144402	-7.354042381610556	-8.253427946033119	0.899
kal	49000	0.01	1.0	0.064	0.00064	2.0408163265306123e-05	-7.354042381610556	-10.799575577092764	3.446
kazan	43031	0.009	3129.0	0.064	0.000576	0.07271501940461528	-7.459402897268383	-2.6212073214940066	-4.838
oyna	41930	0.009	824.0	0.064	0.000576	0.019651800620081088	-7.459402897268383	-3.9295863102553366	-3.53
yaşa	41776	0.009	781.0	0.064	0.000576	0.018694944465721945	-7.459402897268383	-3.979502141099224	-3.48
göster	41322	0.009	1e-10	0.064	0.000576	2.42001839213978e-15	-7.459402897268383	-33.65500125471321	26.196
gir	39841	0.008	7.0	0.064	0.000512	0.00017569840114454958	-7.577185932924766	-8.646741662729818	1.07
bil	39448	0.008	4537.0	0.064	0.000512	0.11501216791725816	-7.577185932924766	-2.1627173482399984	-5.414
geç	38235	0.008	1e-10	0.064	0.000512	2.6154047338825685e-15	-7.577185932924766	-33.577357535418784	26.0
yaz	34433	0.007	473.0	0.064	0.000448	0.013736822234484362	-7.710717325549289	-4.28767529735872	-3.423
sür	34202	0.007	11391.0	0.064	0.000448	0.33305069878954446	-7.710717325549289	-1.0994605519730871	-6.611
sağla	32742	0.007	5.0	0.064	0.000448	0.00015270905870136216	-7.710717325549289	-8.786976023980186	1.076
kat	32003	0.007	1e-10	0.064	0.000448	3.1247070587132456e-15	-7.710717325549289	-33.399435857328065	25.689
öl	31008	0.006	14474.0	0.064	0.000384	0.4667827657378741	-7.864868005376548	-0.7618912992644198	-7.103
geliş	30925	0.006	15349.0	0.064	0.000384	0.49632983023443816	-7.864868005376548	-0.7005145929472806	-7.164
getir	29245	0.006	364.0	0.064	0.000384	0.012446572063600616	-7.864868005376548	-4.386310030240385	-3.479
çek	28652	0.006	229.0	0.064	0.000384	0.007992461259248919	-7.864868005376548	-4.829256524180102	-3.036
de	28370	0.006	45.0	0.064	0.000384	0.0015861825872400424	-7.864868005376548	-6.446425038032578	-1.418
aç	27274	0.006	100.0	0.064	0.000384	0.003666495563540368	-7.864868005376548	-5.608518960429688	-2.256
at	26359	0.006	161.0	0.064	0.000384	0.006107970712090747	-7.864868005376548	-5.09816068664531	-2.767
git	26060	0.005	1e-10	0.064	0.00032	3.837298541826554e-15	-8.047189562170502	-33.194007780619295	25.147
ayır	25301	0.005	929.0	0.064	0.00032	0.03671791628789376	-8.047189562170502	-3.304490460812353	-4.743
yayınla	24354	0.005	74.0	0.064	0.00032	0.003038515233637185	-8.047189562170502	-5.796386292862783	-2.251
alın	23766	0.005	1e-10	0.064	0.00032	4.2076916603551294e-15	-8.047189562170502	-33.10186219679043	25.055
düzenle	23552	0.005	27.0	0.064	0.00032	0.0011463994565217392	-8.047189562170502	-6.771129155524274	-1.276
taşı	23340	0.005	47.0	0.064	0.00032	0.0020137103684661527	-8.047189562170502	-6.207776304130488	-1.839
dön	23126	0.005	810.0	0.064	0.00032	0.03502551241027415	-8.047189562170502	-3.3516785570224226	-4.696
söyle	22361	0.005	67.0	0.064	0.00032	0.0029962881803139393	-8.047189562170502	-5.810381029597179	-2.237
iste	22072	0.005	6.0	0.064	0.00032	0.00027183762232693004	-8.047189562170502	-8.210305646669067	0.163
seç	21787	0.005	60.0	0.064	0.00032	0.0027539358332950843	-8.047189562170502	-5.894724178404233	-2.152
geçir	21676	0.005	44.0	0.064	0.00032	0.002029894814541428	-8.047189562170502	-6.1997713027677435	-1.847
değiş	20255	0.004	11821.0	0.064	0.000256	0.5836089854356948	-8.270333113484712	-0.5385240658864141	-7.732
bul	19054	0.004	24.0	0.064	0.000256	0.0012595780413561456	-8.270333113484712	-6.6769785019187795	-1.593
ulaş	18862	0.004	1349.0	0.064	0.000256	0.07151945710953239	-8.270333113484712	-2.637785738896074	-5.633
tanı	18683	0.004	2712.0	0.064	0.000256	0.1451587004228443	-8.270333113484712	-1.9299276493995514	-6.34
gerek	17912	0.004	2128.0	0.064	0.000256	0.11880303707012059	-8.270333113484712	-2.1302883078170556	-6.14
bırak	17664	0.004	43.0	0.064	0.000256	0.0024343297101449275	-8.270333113484712	-6.018083833383259	-2.252
üre	16817	0.004	14793.0	0.064	0.000256	0.8796455967176072	-8.270333113484712	-0.1282361836305141	-8.142
giy	15574	0.003	363.0	0.064	0.000192	0.023308077565172725	-8.558015185936492	-3.7589553018720805	-4.799
açıkla	15327	0.003	1e-10	0.064	0.000192	6.524434005350036e-15	-8.558015185936492	-32.66322218793936	24.105
sat	15249	0.003	8.0	0.064	0.000192	0.0005246245655452816	-8.558015185936492	-7.552827664435176	-1.005
tamamla	14867	0.003	24.0	0.064	0.000192	0.0016143135804129953	-8.558015185936492	-6.428845440265405	-2.129
yayımla	14510	0.003	52.0	0.064	0.000192	0.003583735354927636	-8.558015185936492	-5.631349627296806	-2.927
belir	14211	0.003	13404.0	0.064	0.000192	0.9432130040109774	-8.558015185936492	-0.05846314273466046	-8.5
araştır	14192	0.003	3.0	0.064	0.000192	0.00021138669673055241	-8.558015185936492	-8.461821415881252	-0.096
